text,toxicity,severe_toxicity,identity_attack,insult,total_toxicity
"Hey nigga, go back to the cotton field",0.78855824,0.35368225,0.76079035,0.6675394,2.57057024
damn! I thought Paola Egonu is lesbian!!!,0.78855824,0.34938923,0.57957685,0.5130944,2.23061872
@atomy_turkiye fock you,0.6667219,0.50703704,0.31892163,0.65129566,2.14397623
@decimo354 ciao stupidi fan,0.8460273,0.34997055,0.06294931,0.8131897,2.07213686
"Spot perfetto... Pagliaccio, maggiordomo e leccaculo della latrina di Tavullia 😅",0.6852916,0.44787344,0.08500996,0.6798578,1.8980328
@lorenzo.gibellini_ apri la bocca che piovono cazzi,0.8364697,0.35368225,0.08500996,0.6149945,1.89015641
Domenica fategli il culo a santarelli presuntuoso ed arrogante.. .forza ragazze...,0.71760553,0.35368225,0.07508347,0.71027446,1.85664571
KILL THEM ALL 🔥🙌🙌,0.8252207,0.51028454,0.12735364,0.34032786,1.80318674
@brambillaroby Parla faccia di cazzo😂,0.743089,0.34942797,0.025605056,0.6798578,1.797979826
"@sereluciny just as you are also not happy, go to hell",0.78207105,0.3493117,0.08666438,0.5678696,1.7859167299999998
Fuck them ucube,0.9248995,0.35368225,0.060675595,0.42567953,1.7649368749999998
@_manuel.rossato_ chissà che squadra tifa tu ahahah coglione,0.7308154,0.21290472,0.0440973,0.72868866,1.71650608
Leave me too alone you 1diots,0.74954444,0.15443328,0.051808115,0.72868866,1.684474495
@real_fox99 la puzza da sfigato che emani ahaha,0.6588125,0.22207877,0.08666438,0.6675394,1.63509505
l'Italia è un paese finito per ignoranza ...,0.52007306,0.023076924,0.5051609,0.5130944,1.561405284
VOCÊ É FODA!!!!! 🔥,0.7252971,0.34962174,0.032753747,0.42567953,1.5333521170000002
"haha look at this little racist coming here with a fake account ! dude we live in 21 Century in the blink of  artificial intelligence and you are stuck in the ""race"" mud 😁",0.5559701,0.02444411,0.381025,0.54471385,1.50615306
@fabioteoo dont be stupid,0.687436,0.023129508,0.016259583,0.7065844,1.433409491
@el_patriciooo leave her alone you idiots,0.6426206,0.023076924,0.021585498,0.71120167,1.398484692
È diventata Zia. Non potete essere più sciocchi di cosi,0.6308517,0.021419114,0.031722516,0.69164425,1.3756375799999998
"You may be a good athlete, but you don't have sports morals. Italians will never fully accept you, you will never be an Italian in their eyes, and the first moment you lose a match, you will be the one to blame. Frankly, I don't feel sorry for you anymore, you deserve everything with that character. And imoco f...ked you SO GOOD",0.4977744,0.06011435,0.2808415,0.44464502,1.28337527
dal momento che paghiamo l’abbonamento NON VOGLIAMO TIFOSI COME IL PAGLIACCIO BERGOMI AI COMMENTI. Vergognatevi.,0.57271194,0.020127986,0.016762028,0.64537907,1.254981024
@leoni4831 so she can't be how she wants to be? Is your character THE PERFECT one? Has everyone in the worl told you that the way you are is the way we all should be? Are you the Supreme being? When you walk by to people stop and stare because you're so perfect? Do they make statues or shrines in your name because you're the example of how people should be? If your answer is NO then shut it. U less you know her personally and not from social media then you're just talking out of your butt.,0.60254884,0.06011435,0.055218685,0.46774593,1.185627805
"@grix96 abbassa lo sgardo ed occupati di altro, ns gloria ti disturba la psiche. Vergognati.",0.509388,0.024866661,0.027614836,0.6099415,1.171810997
Voi di Sky siete dei truffatori. In nessun modo è possibile eliminare un pacchetto dall’abbonamento. Sono un cliente da molto più di 10 anni e mi sento truffato. Ore perse con dei callcenter digitali. Vergognatevi!,0.50789946,0.01896597,0.041003603,0.5678696,1.135738633
"Disrespectful freak, I hope haak showed you how to be a good player and kind person.",0.5140397,0.023076924,0.02721288,0.5588244,1.123153904
DESTROY EM ALL!!,0.55739564,0.19455661,0.10221587,0.22770336,1.08187148
certo un po bruttina e lee,0.4838166,0.023076924,0.058856625,0.5072643,1.073014449
@el_patriciooo an idiots need attention 🤭🤭🤭,0.47119883,0.023076924,0.009175468,0.5543018,1.057753022
"@real_fox99 sei in n troll, non esisti",0.47119883,0.023076924,0.028418748,0.5130944,1.035788902
@palmiyebutikhotel_karaburun so now Vargas is a Men ha 😂 you can't fix stupidity 😭,0.3977292,0.02373986,0.10221587,0.48627716,1.00996209
Inanalim mi güzel kızım. 😢 fb çok güçlü geliyo,0.36095104,0.2281948,0.11512129,0.26957804,0.97384517
Sky Sport Trash ..... da quando Federico Ferri è diventato capetto Sky vale meno di una tv di provincia....,0.42568782,0.015802706,0.034816213,0.48627716,0.962583899
"@real_fox99 uno che scrive un commento del genere sa che tutti verranno a vedere il suo profilo, dovrebbe accertarsi di avere una faccia presentabile, eccheccazzo!",0.50759226,0.02449106,0.023193322,0.40243408,0.957710722
